system;indexSystem;indexItem;nMax;time;item
P;P;0;1000;3.57180457389;07
P;P;1;1000;0.949465456057;40
P;P;2;1000;1.37496681988;54
P;P;3;1000;1.19482012294;33
P;P;4;1000;0.956288547833;07
P;P;5;1000;1.40009647309;98
P;P;6;1000;3.3582300454;48
P;P;7;1000;1.38952361981;54
P;P;8;1000;1.42582884984;07
P;P;9;1000;0.994271327293;98
P;P;10;1000;0.911507867828;33
P;P;11;1000;1.18653733924;40
P;P;12;1000;0.761050903549;07
P;P;13;1000;1.94381468957;98
P;P;14;1000;0.788568592225;54
P;P;15;1000;0.686853862399;48
P;P;16;1000;0.327191182322;40
P;P;17;1000;0.459049553485;60
P;P;18;1000;1.01663600956;33
P;P;19;1000;1.94516242047;87
P;P;20;1000;0.707020376441;98
P;P;21;1000;0.7476006518;63
P;P;22;1000;1.28747720543;33
P;P;23;1000;0.836798604966;00
P;P;24;1000;1.03597354547;87
P;P;25;1000;6.32037928665;51
P;P;26;1000;3.50184665724;87
P;P;27;1000;0.838702408981;00
P;P;28;1000;0.758194497768;07
P;P;29;1000;0.853429949482;33
P;P;0;1000;6.61998467067;91
P;P;1;1000;1.4527032291;70
P;P;2;1000;1.40206185567;45
P;P;3;1000;0.988377512067;95
P;P;4;1000;0.883537669988;18
P;P;5;1000;0.777144368617;54
P;P;6;1000;6.8445523728;70
P;P;7;1000;0.910634571793;45
P;P;8;1000;0.909605463325;95
P;P;9;1000;1.52936901096;18
P;P;10;1000;2.23151861609;97
P;P;11;1000;0.773302705772;91
P;P;12;1000;1.09609428612;45
P;P;13;1000;1.28931663186;95
P;P;14;1000;0.889920848217;88
P;P;15;1000;7.47045185139;18
P;P;16;1000;1.47689240965;97
P;P;17;1000;0.910017853119;95
P;P;18;1000;3.934786432;88
P;P;19;1000;1.60725283553;70
P;P;20;1000;1.46977635318;76
P;P;21;1000;0.868272250039;95
P;P;22;1000;1.04946904814;88
P;P;23;1000;1.029835282;70
P;P;24;1000;1.14652246708;97
P;P;25;1000;1.13783475765;95
P;P;26;1000;5.84122526419;88
P;P;27;1000;0.887747871224;70
P;P;28;1000;1.03383042476;76
P;P;29;1000;0.967030742166;97
P;P;30;1000;0.866547583671;88
P;P;31;1000;1.08822249269;70
P;P;32;1000;0.957395096014;18
P;P;33;1000;0.894714179818;76
P;P;34;1000;1.0371500693;88
P;P;35;1000;2.83408168397;70
P;P;36;1000;0.717310528116;45
P;P;37;1000;2.1901308218;97
P;P;38;1000;1.19693758592;88
P;P;39;1000;0.687899298518;76
P;P;40;1000;0.804627069472;95
P;P;41;1000;1.23110016174;97
P;P;42;1000;0.708603225504;18
P;P;43;1000;0.813398283171;70
P;P;44;1000;1.41151183311;43
P;P;45;1000;0.913301110327;97
P;P;46;1000;0.845107979416;95
P;P;47;1000;1.06689578247;70
P;P;48;1000;4.20654710784;88
P;P;49;1000;9.34754103255;94
P;P;50;1000;0.871643210053;95
P;P;51;1000;1.19210693398;43
P;P;52;1000;3.78400198171;97
P;P;53;1000;0.830620222121;94
P;P;54;1000;0.715208459775;88
P;P;55;1000;0.843136532278;70
P;P;56;1000;1.13864181007;44
P;P;57;1000;0.845322104886;97
P;P;58;1000;0.774862696124;43
P;P;59;1000;0.843125336175;95
P;P;60;1000;1.07760718753;44
P;P;61;1000;1.44816647486;94
P;P;62;1000;0.874321411194;70
P;P;63;1000;0.891830716788;97
P;P;64;1000;3.92594710868;44
P;P;65;1000;3.28380301763;82
P;P;66;1000;0.770348800594;94
P;P;67;1000;0.798871339516;95
P;P;68;1000;0.751836044268;44
P;P;69;1000;1.68809196479;82
P;P;70;1000;3.82440265292;41
P;P;71;1000;0.688931206012;97
P;P;72;1000;0.99946305356;70
P;P;73;1000;0.901663227753;51
P;P;74;1000;1.38642556481;79
P;P;75;1000;0.954799932637;41
P;P;76;1000;1.32055702479;82
P;P;77;1000;1.99741649923;47
P;P;78;1000;6.44164287884;70
P;P;79;1000;0.931500375769;51
P;P;80;1000;1.19468250418;37
P;P;81;1000;0.774141480489;79
P;P;82;1000;3.9441006567;82
P;P;83;1000;2.47785854004;47
