 Constantine Hangerli arrives in Bucharest Wallachia as its new Prince invested by the Ottoman Empire.,
 American Revolutionary War: Richmond Virginia is burned by British naval forces led by Benedict Arnold.,
 King Henry VIII of England marries Anne of Cleves.,
 Premiere performance of George Frideric Handel's Ariodante at the Royal Opera House Covent Garden.,
 Connecticut becomes the fifth state to be admitted to the United States.,
 Thomas Paine publishes his pamphlet Common Sense.,
 Ching-Thang Khomba is crowned King of Manipur.,
 The Royal Aeronautical Society is formed in London.,
 French Revolutionary Wars: A naval battle between a French ship of the line and two British frigates off the coast of Brittany ends with the French vessel running aground resulting in over 900 deaths.,
 The discovery of the planet Vulcan is announced at a meeting of the French Academy of Sciences in Paris France.,
 Grand Prince Stephen I of Hungary is named the first King of Hungary by Pope Sylvester II.,
 American Civil War: Delaware votes not to secede from the United States.,
 Samuel Colt sells his first revolver pistol to the United States government.,
 The United States House of Representatives votes to stop sharing the Oregon Territory with the United Kingdom.,
 The Union of Arras is signed.,
 Second Jacobite rising: Bonnie Prince Charlie occupies Stirling.,
 Jean-Pierre Blanchard becomes the first person to fly in a balloon in the United States.,
 The Siege of Dunlap's Station begins near Cincinnati during the Northwest Indian War.,
 American Revolutionary War: French troops begin a siege of a British garrison on Brimstone Hill in Saint Kitts.,
 Yohannes IV is crowned Emperor of Ethiopia in Axum the first imperial coronation in that city in over 200 years.,
 War of 1812: British troops capture Fort Peter in St. Marys Georgia the only battle of the war to take place in the state.,
 Uruguayan War: The Siege of Paysandú ends as Brazilian and Coloradans capture Paysandú Uruguay.,
 Romanos IV Diogenes marries Eudokia Makrembolitissa and is crowned Byzantine Emperor.,
 Meiji Restoration in Japan: The Tokugawa shogunate is abolished; agents of Satsuma and Chōshū seize power.,
 The McDonald Islands are discovered by Captain William McDonald aboard the Samarang.,
 Dreyfus affair: French army officer Alfred Dreyfus is stripped of his rank and sentenced to life imprisonment on Devil's Island.,
 English Restoration: The Fifth Monarchists unsuccessfully attempt to seize control of London England.,
 George Washington delivers the first State of the Union address in New York New York.,
 British Prime Minister William Pitt the Younger introduces an income tax of two shillings to the pound to raise funds for Great Britain's war effort in the Napoleonic Wars.,
 Dutch settlers in Cape Town surrender to the British.,
 William Herschel discovers Titania and Oberon two moons of Uranus.,
 The National Trust is founded in the United Kingdom.,
 The design of the Greek flag is adopted by the First National Assembly at Epidaurus.,
 Amadeus I becomes King of Spain.,
 Michael VIII Palaiologos is proclaimed co-emperor of the Empire of Nicaea with his ward John IV Laskaris.,
 Construction of the Brooklyn Bridge begins.,
 The New Apostolic Church a Christian and chiliastic church is established in Hamburg Germany.,
 An Austrian newspaper reports that Wilhelm Röntgen has discovered a type of radiation later known as X-rays.,
 Joseph son of Emperor Leopold I becomes King of the Romans.,
 Cape Colony becomes a British colony.,
 Admiral Horatio Lord Nelson receives a state funeral and is interred in St Paul's Cathedral.,
 Napoleon Bonaparte divorces his first wife Joséphine.,
 The Michigan Territory is created.,
 Itō Hirobumi begins his third term as Prime Minister of Japan.,
 The Great Fire of New Orleans begins.,
 American statesman and diplomat John Hay announces the Open Door Policy to promote trade with China.,
 Albert II of Habsburg is crowned King of Hungary.,
 Sino-French War: Beginning of the Battle of Núi Bop,
 The New York Stock Exchange opens its first permanent headquarters at 10-12 Broad near Wall Street in New York City.,
 Irish leader John Redmond calls for a revolt against British rule.,
 The Committee of Inquiry on the South Sea Bubble publishes its findings.,
 An unsuccessful slave revolt is led by Charles Deslondes in St. Charles and St. James Louisiana.,
 Sir Humphry Davy tests his safety lamp for miners at Hebburn Colliery.,
 American Civil War: Florida secedes from the Union.,
 Alabama secedes from the United States.,
 Thirteen crew members and five apprentices are rescued from the stricken schooner Forest Hall by the Lynmouth Lifeboat when the former founders off the coast of Devon.,
 United States President Andrew Jackson writes to Vice President Martin Van Buren expressing his opposition to South Carolina's defiance of federal authority in the Nullification Crisis.,
 Russo-Japanese War: The Russian garrison surrenders at Port Arthur China.,
 The present-day location of Rio de Janeiro Brazil is first explored by the Portuguese.,
 The refracting telescope at the Lick Observatory measuring 91 cm in diameter is used for the first time. It was the largest telescope in the world at the time.,
 Sofia is emancipated from Ottoman rule.,
 Kappa Alpha Psi the world's second oldest and largest black fraternity is founded at Indiana University.,
 In the Battle of Jersey the British defeat the last attempt by France to invade Jersey.,
 War of 1812: Battle of New Orleans , Andrew Jackson leads American forces in victory over the British.
 The Portuguese prince Pedro I of Brazil decides to stay in Brazil against the orders of the Portuguese King João VI beginning the Brazilian independence process.,
 The London Underground the world's oldest underground railway opens between London Paddington station and Farringdon station.,
 American Civil War: Battle of Arkansas Post , General John McClernand and Admiral David Dixon Porter capture the Arkansas River for the Union.
 Uddevalla Suffrage Association is formally dissolved.,
 The steamship Lexington burns and sinks four miles off the coast of Long Island with the loss of 139 lives.,
 A gun battle in the East End of London left two dead and sparked a political row over the involvement of then-Home Secretary Winston Churchill.,
 King Francis I of France succeeds to the French throne.,
 A magnitude 7.7 earthquake destroys the city of Almaty in Russian Turkestan.,
 The Fabian Society is founded in London England United Kingdom.,
 The Prague Party Conference takes place.,
 Combined British Portuguese and colonial Brazilian forces begin the Invasion of Cayenne during the Napoleonic Wars.,
