answer;solution;correct;image;lociId;lociName;blocIndex;lociIndex;imageIndex;feat;nbRow;nbCol;memoTime;restiTime;sepSign;timestamp
24;24;True;A;4e66afa1-cb67-11e4-874d-08002700d09f;truc moche en haut;0;13;42;d;20;40;300;900;|;1426670501.0
18;18;True;Q;4e66afa1-cb67-11e4-874d-08002700d09f;truc moche en haut;0;13;43;d;20;40;300;900;|;1426670501.0
47;47;True;P;4e6724cf-cb67-11e4-a428-08002700d09f;haut des escalators;1;14;44;d;20;40;300;900;|;1426670501.0
64;64;True;A;4e6724cf-cb67-11e4-a428-08002700d09f;haut des escalators;1;14;45;d;20;40;300;900;|;1426670501.0
31;31;True;Q;4e6724cf-cb67-11e4-a428-08002700d09f;haut des escalators;1;14;46;d;20;40;300;900;|;1426670501.0
72;72;True;P;4e67c111-cb67-11e4-92b1-08002700d09f;dans les escalators;2;15;47;d;20;40;300;900;|;1426670501.0
90;90;True;A;4e67c111-cb67-11e4-92b1-08002700d09f;dans les escalators;2;15;48;d;20;40;300;900;|;1426670501.0
03;03;True;Q;4e67c111-cb67-11e4-92b1-08002700d09f;dans les escalators;2;15;49;d;20;40;300;900;|;1426670501.0
85;85;True;P;4e69209e-cb67-11e4-8f0c-08002700d09f;coin fumeur (angle);3;16;50;d;20;40;300;900;|;1426670501.0
37;37;True;A;4e69209e-cb67-11e4-8f0c-08002700d09f;coin fumeur (angle);3;16;51;d;20;40;300;900;|;1426670501.0
62;62;True;Q;4e69209e-cb67-11e4-8f0c-08002700d09f;coin fumeur (angle);3;16;52;d;20;40;300;900;|;1426670501.0
77;77;True;P;4e68845e-cb67-11e4-9e46-08002700d09f;sièges bouffe derrières;4;17;53;d;20;40;300;900;|;1426670501.0
60;60;True;A;4e68845e-cb67-11e4-9e46-08002700d09f;sièges bouffe derrières;4;17;54;d;20;40;300;900;|;1426670501.0
07;07;True;Q;4e68845e-cb67-11e4-9e46-08002700d09f;sièges bouffe derrières;4;17;55;d;20;40;300;900;|;1426670501.0
48;48;True;P;4e6995cf-cb67-11e4-993b-08002700d09f;vitres tourniquets;5;18;56;d;20;40;300;900;|;1426670501.0
96;96;True;A;4e6995cf-cb67-11e4-993b-08002700d09f;vitres tourniquets;5;18;57;d;20;40;300;900;|;1426670501.0
30;30;True;Q;4e6995cf-cb67-11e4-993b-08002700d09f;vitres tourniquets;5;18;58;d;20;40;300;900;|;1426670501.0
43;43;True;A;4e6995cf-cb67-11e4-993b-08002700d09f;vitres tourniquets;5;18;59;d;20;40;300;900;|;1426670501.0
78;78;True;Q;4e6995cf-cb67-11e4-993b-08002700d09f;vitres tourniquets;5;18;60;d;20;40;300;900;|;1426670501.0
69;69;True;P;4f1677a1-cb67-11e4-88e0-08002700d09f;place de parking;0;1;1;d;20;40;300;900;|;1426676055.0
52;52;True;A;4f1677a1-cb67-11e4-88e0-08002700d09f;place de parking;0;1;2;d;20;40;300;900;|;1426676055.0
46;46;True;Q;4f1677a1-cb67-11e4-88e0-08002700d09f;place de parking;0;1;3;d;20;40;300;900;|;1426676055.0
90;90;True;P;4f16ecd1-cb67-11e4-9001-08002700d09f;poulailler voisins;1;2;4;d;20;40;300;900;|;1426676055.0
01;01;True;A;4f16ecd1-cb67-11e4-9001-08002700d09f;poulailler voisins;1;2;5;d;20;40;300;900;|;1426676055.0
91;91;True;Q;4f16ecd1-cb67-11e4-9001-08002700d09f;poulailler voisins;1;2;6;d;20;40;300;900;|;1426676055.0
82;82;True;P;4f17890f-cb67-11e4-a735-08002700d09f;cabane gouffre;2;3;7;d;20;40;300;900;|;1426676055.0
25;25;True;A;4f17890f-cb67-11e4-a735-08002700d09f;cabane gouffre;2;3;8;d;20;40;300;900;|;1426676055.0
87;87;True;Q;4f17890f-cb67-11e4-a735-08002700d09f;cabane gouffre;2;3;9;d;20;40;300;900;|;1426676055.0
46;46;True;P;4f18254f-cb67-11e4-b01c-08002700d09f;etage haut (canap);3;4;10;d;20;40;300;900;|;1426676055.0
68;68;True;A;4f18254f-cb67-11e4-b01c-08002700d09f;etage haut (canap);3;4;11;d;20;40;300;900;|;1426676055.0
33;33;True;Q;4f18254f-cb67-11e4-b01c-08002700d09f;etage haut (canap);3;4;12;d;20;40;300;900;|;1426676055.0
