Edita;31
Gina;31
Gloria;31
Krista;31
Lotte;31
Stefanie;31
Sylvie;31
Tea;31
Yvette;31
Zorka;31
Carola;30
Corina;30
Frieda;30
Gabriella;30
Iveta;30
Janna;30
Joanne;30
Mai;30
Marcela;30
Maria;30
May;30
Mina;30
Nana;30
Rina;30
Sheila;30
Silvija;30
Slavka;30
Swetlana;30
Vanda;30
Angelica;29
Anneli;29
Beatrix;29
Birgitta;29
Brenda;29
Britta;29
Cynthia;29
Dolores;29
Edda;29
Erica;29
Eveline;29
Iva;29
Jasminka;29
Jelka;29
Jolanda;29
Jovanka;29
Katharina;29
Katia;29
Kim;29
Liliane;29
Lisbeth;29
Muriel;29
Olivia;29
Silva;29
Stana;29
Stanka;29
Anica;28
Beate;28
Britt;28
Danijela;28
Elma;28
Else;28
Ema;28
Esma;28
Francine;28
Gabrielle;28
Gemma;28
Gisela;28
Hannah;28
Hildegard;28
Jadranka;28
Jeannine;28
Liana;28
Marian;28
Marietta;28
Naomi;28
Theresa;28
Venera;28
Verica;28
Vida;28
Aline;27
Darja;27
Evgeniya;27
Grete;27
Inger;27
Ira;27
Jean;27
Julijana;27
Jutta;27
Katica;27
Leyla;27
