Dimitri;25
Dragomir;25
Emmanuel;25
Enes;25
Fadil;25
Faik;25
Friedrich;25
Fuad;25
Giovanni;25
Gregory;25
Horst;25
Jani;25
Karel;25
Konrad;25
Kosta;25
Lucien;25
Luka;25
Milenko;25
Radomir;25
Toni;25
Vojislav;25
Yevgeni;25
Angelo;24
Christoph;24
Edvard;24
Ewald;24
Fabrice;24
Feliks;24
Fernand;24
Gennadiy;24
Grigoriy;24
Jaroslav;24
Joe;24
Jonas;24
Kenan;24
Marijan;24
Naim;24
Reinhard;24
Ronnie;24
Siegfried;24
Teodor;24
Tomas;24
Vitaly;24
Zdenko;24
Anatolij;23
Andrija;23
Aron;23
Branimir;23
Didier;23
Dragoljub;23
Erling;23
Evgeniy;23
Glenn;23
Ian;23
Iosif;23
Islam;23
Jorge;23
Julien;23
Leif;23
Leopold;23
Mihajlo;23
Nicholas;23
Patrik;23
Pawel;23
Petr;23
Predag;23
Raphael;23
Torsten;23
Vassili;23
Vitalij;23
Vjacheslav;23
Wladimir;23
Abdul;22
Ahmed;22
Alfredo;22
Anders;22
Arben;22
Ari;22
Asim;22
Carsten;22
Eddy;22
Elvis;22
Frans;22
Gennadij;22
Gennady;22
Geoffrey;22
Hilmar;22
Ivar;22
