n;fric;6157.0
v;retrouver;6142.0
n;coin;6134.0
n;table;6130.0
n;colonel;6128.0
n;dos;6126.0
v;rencontrer;6116.0
v;commencer;6047.0
n;accident;5974.0
n;appel;5966.0
v;finir;5942.0
n;risque;5931.0
n;moyen;5925.0
n;meurtre;5895.0
n;touche;5845.0
n;lire;5815.0
v;lire;5815.0
n;tombe;5797.0
v;marcher;5793.0
n;avance;5790.0
n;forme;5753.0
n;bord;5739.0
n;mer;5715.0
n;midi;5691.0
n;montre;5673.0
v;porter;5672.0
n;silence;5633.0
n;diable;5627.0
n;cadeau;5605.0
n;avocat;5587.0
n;avocat;5587.0
n;surprise;5552.0
n;commandant;5493.0
n;ligne;5448.0
v;expliquer;5416.0
v;aimer;5413.0
n;mission;5403.0
v;monter;5397.0
v;tenir;5396.0
n;balle;5370.0
v;quitter;5352.0
n;classe;5343.0
n;peuple;5316.0
n;habitude;5309.0
n;voie;5306.0
n;pote;5298.0
n;honte;5278.0
n;impression;5269.0
v;suivre;5259.0
v;oublier;5255.0
v;retourner;5227.0
n;offre;5218.0
n;chanson;5205.0
n;trou;5200.0
n;poste;5195.0
n;attaque;5159.0
n;change;5154.0
n;baiser;5152.0
v;baiser;5152.0
n;bande;5130.0
n;enfer;5127.0
n;rire;5058.0
v;rire;5058.0
n;compagnie;5057.0
n;exemple;5039.0
n;combat;5021.0
n;secours;5020.0
n;visite;5010.0
n;coucher;4992.0
v;coucher;4992.0
v;continuer;4985.0
n;lune;4972.0
n;bouche;4970.0
n;danse;4957.0
n;but;4955.0
n;sortie;4946.0
n;vol;4944.0
n;lieutenant;4936.0
v;vendre;4899.0
n;avenir;4887.0
v;envoyer;4856.0
n;cuisine;4855.0
n;danger;4850.0
n;gouvernement;4848.0
n;village;4846.0
v;poser;4836.0
v;ouvrir;4832.0
n;journal;4831.0
n;approche;4826.0
n;dommage;4788.0
n;peau;4782.0
v;voler;4777.0
n;nez;4775.0
v;danser;4773.0
v;servir;4772.0
n;mille;4765.0
n;banque;4754.0
n;sergent;4735.0
n;inspecteur;4695.0
n;salaud;4663.0
n;cour;4659.0
n;juge;4652.0
n;bruit;4648.0
n;flic;4645.0
n;crime;4600.0
n;bonheur;4575.0
n;tas;4563.0
n;travers;4552.0
n;blague;4539.0
n;conseil;4537.0
n;robe;4529.0
n;oeil;4504.0
n;vin;4493.0
n;don;4471.0
n;sol;4469.0
n;vent;4467.0
n;club;4461.0
n;tante;4423.0
n;mesdames;4416.0
n;bar;4406.0
n;milieu;4393.0
n;reine;4391.0
n;signe;4384.0
n;centre;4381.0
v;emmener;4309.0
n;prise;4278.0
n;liste;4268.0
n;soin;4253.0
n;pierre;4249.0
v;utiliser;4245.0
n;fiche;4234.0
n;parole;4232.0
v;marier;4226.0
n;spectacle;4208.0
n;vouloir;4200.0
v;vouloir;4200.0
n;recherche;4198.0
n;pose;4192.0
v;descendre;4133.0
n;position;4106.0
v;asseoir;4096.0
n;match;4093.0
n;art;4074.0
n;mise;4066.0
n;espoir;4061.0
n;mur;4041.0
n;salope;4009.0
n;adresse;3997.0
v;sauter;3982.0
n;directeur;3979.0
n;tort;3963.0
v;conduire;3963.0
n;revenu;3955.0
n;justice;3952.0
n;soldat;3951.0
n;cerveau;3939.0
n;quartier;3931.0
n;prince;3925.0
n;vis;3925.0
n;presse;3880.0
n;preuve;3874.0
n;revient;3870.0
n;gosse;3858.0
n;rose;3848.0
n;courage;3820.0
n;max;3796.0
n;taxi;3781.0
v;chanter;3777.0
n;excuse;3776.0
v;sentir;3774.0
n;appartement;3750.0
n;contact;3747.0
v;cacher;3738.0
n;occasion;3736.0
v;jeter;3725.0
n;base;3720.0
n;glace;3712.0
n;machine;3678.0
n;souvenir;3661.0
v;souvenir;3661.0
n;course;3617.0
n;coupe;3590.0
n;importance;3586.0
n;joie;3547.0
n;bain;3533.0
n;bombe;3510.0
v;ramener;3509.0
n;toucher;3476.0
v;toucher;3476.0
n;rencontre;3456.0
n;respect;3452.0
v;tourner;3446.0
n;terrain;3445.0
n;projet;3442.0
n;poisson;3440.0
n;envers;3422.0
n;ange;3419.0
n;copine;3409.0
n;dossier;3401.0
n;langue;3389.0
n;princesse;3378.0
n;zone;3377.0
n;drogue;3374.0
n;charge;3373.0
n;nourriture;3372.0
n;pont;3372.0
n;douleur;3351.0
n;magasin;3340.0
n;bus;3312.0
v;offrir;3308.0
n;chapeau;3304.0
v;discuter;3297.0
n;papier;3293.0
n;action;3292.0
n;permis;3292.0
n;frais;3285.0
n;code;3273.0
n;champ;3258.0
n;couleur;3257.0
n;pain;3257.0
v;excuser;3249.0
n;destin;3248.0
n;taille;3235.0
n;vaisseau;3230.0
n;sexe;3227.0
n;repas;3224.0
n;contrat;3222.0
n;lait;3199.0
v;pleurer;3186.0
n;copain;3181.0
n;personnel;3168.0
n;couteau;3159.0
n;foi;3142.0
n;direction;3135.0
n;niveau;3104.0
v;remettre;3103.0
n;solution;3077.0
v;fermer;3077.0
v;raconter;3077.0
v;amuser;3063.0
n;enceinte;3047.0
v;courir;3022.0
v;arranger;3021.0
n;officier;3012.0
v;officier;3012.0
n;espace;3010.0
n;sourire;3010.0
v;sourire;3010.0
v;accepter;2996.0
n;vitesse;2982.0
n;jambe;2981.0
v;rappeler;2975.0
n;arbre;2973.0
n;victime;2963.0
n;image;2922.0
v;compter;2916.0
v;enlever;2916.0
n;chasse;2915.0
n;file;2900.0
n;dimanche;2889.0
n;fil;2887.0
n;morceau;2886.0
n;million;2869.0
n;appareil;2866.0
n;piste;2861.0
n;programme;2847.0
v;couper;2818.0
v;bouger;2809.0
n;crise;2806.0
n;lever;2792.0
v;lever;2792.0
v;obtenir;2786.0
n;pluie;2779.0
v;prouver;2774.0
n;restaurant;2769.0
n;souris;2769.0
n;regard;2765.0
n;intention;2756.0
n;cou;2748.0
n;folie;2741.0
n;urgence;2741.0
n;relation;2736.0
n;bouteille;2733.0
v;rejoindre;2732.0
n;casse;2731.0
n;jardin;2730.0
n;oiseau;2728.0
n;claire;2718.0
n;nombre;2712.0
n;toit;2703.0
n;maladie;2695.0
n;poche;2695.0
v;frapper;2691.0
n;gare;2659.0
n;frappe;2655.0
n;paradis;2653.0
n;campagne;2650.0
n;alcool;2647.0
n;samedi;2632.0
n;produit;2629.0
n;odeur;2620.0
n;montagne;2611.0
n;victoire;2604.0
n;suivi;2588.0
v;remercier;2578.0
n;queue;2577.0
v;assurer;2577.0
n;viande;2575.0
v;falloir;2568.0
n;fusil;2557.0
n;hasard;2554.0
n;passage;2554.0
n;neige;2542.0
n;plage;2536.0
n;coffre;2526.0
n;costume;2522.0
n;pression;2522.0
n;univers;2516.0
n;attendu;2511.0
n;cache;2491.0
n;van;2491.0
v;attraper;2480.0
n;cesse;2476.0
n;gaffe;2473.0
n;ministre;2471.0
n;naissance;2469.0
v;agir;2469.0
n;gaz;2465.0
n;bataille;2463.0
n;retraite;2460.0
n;discours;2452.0
n;poids;2452.0
n;star;2450.0
n;ventre;2448.0
n;connaissance;2446.0
n;vendredi;2442.0
n;couple;2433.0
n;date;2427.0
n;titre;2416.0
v;recevoir;2412.0
n;os;2405.0
n;valeur;2401.0
n;style;2398.0
n;fortune;2397.0
v;amener;2390.0
n;poulet;2384.0
v;embrasser;2382.0
n;acte;2381.0
n;cible;2372.0
n;conscience;2369.0
n;doigt;2362.0
n;article;2356.0
v;reprendre;2351.0
n;mine;2350.0
n;sentiment;2335.0
v;reposer;2335.0
n;note;2334.0
n;bal;2321.0
n;salon;2304.0
n;conversation;2297.0
n;fer;2289.0
n;pilote;2289.0
n;conduit;2285.0
n;gorge;2283.0
n;talent;2280.0
v;apporter;2268.0
n;violence;2266.0
n;direct;2262.0
n;tribunal;2257.0
n;commande;2253.0
n;paquet;2249.0
v;fumer;2248.0
v;joindre;2240.0
n;lance;2235.0
n;usine;2234.0
n;horreur;2227.0
n;test;2224.0
n;job;2209.0
n;mode;2205.0
n;pousse;2188.0
n;repos;2179.0
n;ordinateur;2178.0
n;ombre;2169.0
n;minuit;2162.0
v;imaginer;2155.0
n;essence;2151.0
n;page;2151.0
n;page;2151.0
n;maire;2149.0
n;lundi;2146.0
n;billet;2145.0
n;cigarette;2140.0
n;puissance;2137.0
v;partager;2137.0
n;hiver;2126.0
n;souffle;2123.0
n;tente;2123.0
n;miracle;2121.0
v;manquer;2119.0
n;artiste;2117.0
n;lac;2111.0
n;sommeil;2106.0
v;casser;2101.0
n;chemise;2098.0
n;membre;2096.0
n;acteur;2093.0
n;parc;2090.0
n;chair;2089.0
v;mentir;2079.0
n;champagne;2074.0
n;semblant;2064.0
n;annonce;2063.0
n;louis;2059.0
v;fuir;2059.0
n;saute;2058.0
v;signer;2055.0
n;gouverneur;2054.0
n;mark;2049.0
n;chauffeur;2046.0
n;marque;2045.0
n;souci;2042.0
n;manteau;2041.0
n;pantalon;2040.0
n;policier;2040.0
n;caisse;2037.0
n;monnaie;2037.0
n;perte;2031.0
n;menace;2030.0
v;abandonner;2027.0
n;permission;2024.0
n;herbe;2023.0
n;front;2015.0
n;chaise;2011.0
n;sir;2006.0
n;suicide;2005.0
n;mouvement;2001.0
n;douche;1999.0
n;chaleur;1998.0
n;faveur;1993.0
n;christ;1992.0
n;pause;1984.0
n;mai;1978.0
n;choc;1967.0
n;malheur;1959.0
v;attaquer;1959.0
n;mars;1953.0
n;mensonge;1949.0
n;pistolet;1947.0
v;nettoyer;1947.0
n;gloire;1946.0
n;changement;1938.0
n;abri;1933.0
n;corde;1930.0
n;plat;1928.0
n;emploi;1926.0
n;attrape;1925.0
n;oreille;1924.0
n;foule;1923.0
n;dan;1921.0
n;veste;1911.0
v;atteindre;1911.0
n;couverture;1908.0
n;lancer;1905.0
v;lancer;1905.0
n;piano;1901.0
n;camarade;1900.0
n;source;1900.0
n;couche;1899.0
n;saison;1896.0
n;entreprise;1895.0
n;mesure;1895.0
n;supporter;1894.0
v;supporter;1894.0
n;distance;1890.0
n;commis;1886.0
n;somme;1880.0
v;laver;1880.0
n;geste;1874.0
n;ours;1874.0
n;tableau;1871.0
n;commissaire;1865.0
v;crier;1861.0
n;singe;1859.0
v;convaincre;1851.0
n;aube;1849.0
n;fleur;1840.0
v;permettre;1836.0
v;pousser;1822.0
v;filer;1821.0
n;bosse;1811.0
n;soi;1808.0
n;porc;1807.0
n;titrage;1804.0
v;taire;1804.0
n;station;1803.0
n;trompe;1803.0
v;souffrir;1803.0
n;protection;1801.0
n;tir;1798.0
n;empereur;1797.0
n;concert;1790.0
n;enfance;1787.0
